title;id
Pendlay Row (Barbell);018ADC12
Pendulum Squat (Machine);30E293E3
Pike Pushup;0EFE8162
Pilates;EC2510CD
Pinwheel Curl (Dumbbell);942BAD12
Pistol Squat;3FF6A22E
Plank;C6C9B8A0
Plank Pushup;31436F5D
Plate Curl;9283ABD5
Plate Front Raise;DBF9273A
Plate Press;982734D4
Plate Squeeze (Svend Press);9373FSD1
Power Clean;C628D768
Power Snatch;E22F9358
Preacher Curl (Barbell);4F942934
Preacher Curl (Dumbbell);FAB6EB2F
Preacher Curl (Machine);1E9A6B8E
Press Under;84A77566
Pullover (Dumbbell);67280085
Pullover (Machine);B123DD01
Pull Up;1B2B1E7C
Pull Up (Assisted);2C37EC5E
Pull Up (Band);56808FD2
Pull Up Martillo (Gewichtet);5d75bd7d-f929-4288-8386-de53a929091d
Pull Up (Weighted);729237D1
Push Press;542F3CD5
Push Up;392887AA
Push Up - Close Grip;947DAC23
Push Up (Weighted);19372ABC
Rack Pull;FE389074
Rear Delt Reverse Fly (Cable);C315DC2A
Rear Delt Reverse Fly (Dumbbell);E5988A0A
Rear Delt Reverse Fly (Machine);D8281C62
Renegade Row (Dumbbell);1B89CA1B
Reverse Crunch;7952B5CD
Reverse Curl (Barbell);112FC6B7
Reverse Curl (Cable);9F48F858
Reverse Curl (Dumbbell);B567DD46
Reverse Fly Single Arm (Cable);9264ADA1
Reverse Grip Concentration Curl;1FF4097B
Reverse Grip Lat Pulldown (Cable);046E25A2
Reverse Hyperextension;7C0028C3
Reverse Lunge;C284D923
Reverse Lunge (Barbell);818BA121
Reverse Lunge (Dumbbell);FFDA283B
Reverse Plank;99B49684
Ring Dips;51A0EDAA
Romanian Deadlift (Barbell);2B4B7310
Romanian Deadlift (Dumbbell);72CFFAD5
Rope Cable Curl;234897AB
Rope Straight Arm Pulldown;9273BA17
Rowing Machine;0222DB42
Running;AC1BB830
Russian Twist (Bodyweight);BB83BDDE
Russian Twist (Weighted);2982AA23
Scapular Pull Ups;C7AE420A
Seated Cable Row - Bar Grip;F1D60854
Seated Cable Row - Bar Wide Grip;C3BCABB3
Seated Cable Row - V Grip (Cable);0393F233
Seated Calf Raise;062AB91A
Seated Chest Flys (Cable);6B4C797E
Seated Dip Machine;5122E7D9
Seated Incline Curl (Dumbbell);8BAB2735
Seated Lateral Raise (Dumbbell);9372FFAA
Seated Leg Curl (Machine);11A123F3
Seated Overhead Press (Barbell);91AF29E0
Seated Overhead Press (Dumbbell);9930DF71
Seated Palms Up Wrist Curl;1006DF48
Seated Row (Machine);1DF4A847
Seated Shoulder Press (Machine);9237BAD1
Seated Triceps Press;234BC743
Seated Wrist Extension (Barbell);9202CC23
Shoulder Press (Dumbbell);878CD1D0
Shoulder Press (Machine Plates);059E835D
Shoulder Taps;502FCE31
Shrug (Barbell);0B841777
Shrug (Cable);FFABC123
Shrug (Dumbbell);ABEC557F
Shrug (Machine);19A38071
Shrug (Smith Machine);742E5BD5
Side Bend;37F9EDA7
Side Bend (Dumbbell);026FD047
Side Plank;E3EDA509
Single Arm Cable Crossover;8372BBCC
Single Arm Cable Row;D0C4A899
Single Arm Curl (Cable);B33B526E
Single Arm Landmine Press (Barbell);1837BA23
Single Arm Lateral Raise (Cable);DE68C825
Single Arm Lat Pulldown;2EE45F81
Single Arm Tricep Extension (Dumbbell);8347DFD1
Single Arm Triceps Pushdown (Cable);552AB030
Single Leg Extensions;629AE73D
Single Leg Glute Bridge;CBC0D834
Single Leg Hip Thrust;487B3755
Single Leg Hip Thrust (Dumbbell);D1CD146F
Single Leg Press (Machine);3FD83744
Single Leg Romanian Deadlift (Barbell);93472AC1
Single Leg Romanian Deadlift (Dumbbell);937292AB
Single Leg Standing Calf Raise;238BA231
Single Leg Standing Calf Raise (Barbell);E51CCBE5
Single Leg Standing Calf Raise (Dumbbell);5DA40761
Single Leg Standing Calf Raise (Machine);B05C2C29
Sissy Squat (Weighted);F5DEF1EB
Sit Up;022DF610
Sit Up (Weighted);9237BA12
Skating;24A809EF
Skiing;84325755
Skullcrusher (Barbell);875F585F
Skullcrusher (Dumbbell);68F8A292
Sled Push;7757171F
Snatch;FB09C938
Snowboarding;911A58D3
Spider Curl (Barbell);2348AB72
Spider Curl (Dumbbell);90427D4A
Spiderman;C10A5AC9
Spinning;213AB238
Split Jerk;E764B907
Split Squat (Dumbbell);20C1A3CB
Sprints;9283BABA
Squat (Band);F1258206
Squat (Barbell);D04AC939
Squat (Bodyweight);9694DA61
Squat (Dumbbell);DCFF3E9F
Squat (Machine);CC35A01F
Squat Row;A8814C06
Squat (Smith Machine);DDCC3821
Squat (Suspension);B82D6418
Stair Machine (Floors);4377A52B
Stair Machine (Steps);4377A52C
Standing Cable Glute Kickbacks;ACB2751D
Standing Calf Raise;6,745E+61
Standing Calf Raise (Barbell);E53CCBE5
Standing Calf Raise (Dumbbell);6DA40660
Standing Calf Raise (Machine);E05C2C38
Standing Calf Raise (Smith);AA52E8D2
Standing Leg Curls;6120CAAB
Standing Military Press (Barbell);073032BB
Step Up;128A2381
Sternum Pull up (Gironda);EE2938D1
Straight Arm Lat Pulldown (Cable);D2387AB1
Straight Leg Deadlift;2A48E443
Stretching;527DA061
Sumo Deadlift;D20D7BBE
Sumo Squat;3F5F8D40
Sumo Squat (Barbell);6622E5A0
Sumo Squat (Dumbbell);05293BCA
Sumo Squat (Kettlebell);5E10D0E6
Superman;218DA87C
Swimming;B60A678F
T Bar Row;08A2974E
Thruster (Barbell);90E506D5
Thruster (Kettlebell);10313AFD
Toes to Bar;B94E35E1
Toe Touch;75BAC5C3
Torso Rotation;FBB62888
Treadmill;243710DE
Triceps Dip;28BB4A95
Triceps Dip (Assisted);4B4BF8C2
Triceps Dip (Weighted);10347BAC
Triceps Extension (Barbell);2F8D3067
Triceps Extension (Cable);21310F5F
Triceps Extension (Dumbbell);3765684D
Triceps Extension (Machine);3092FADD
